2022-03-27 23:56:13.70 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -6612)
2022-03-27 23:56:14.70 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -1378)
2022-03-27 23:56:15.70 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 218)
2022-03-27 23:56:15.70 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 7128)
2022-03-27 23:56:16.72 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2811)
2022-03-27 23:56:17.72 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: -8683)
2022-03-27 23:56:18.70 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 33)
2022-03-27 23:56:18.72 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -177)
2022-03-27 23:56:19.72 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 8330)
2022-03-27 23:56:20.73 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 4012)
2022-03-27 23:56:21.72 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 195)
2022-03-27 23:56:21.73 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -7482)
2022-03-27 23:56:22.74 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1025)
2022-03-30 11:04:48.11 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 2387)
2022-03-30 11:04:49.11 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -1931)
2022-03-30 11:04:50.11 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 211)
2022-03-30 11:04:50.11 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 6576)
2022-03-30 11:04:51.11 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -4918)
2022-03-30 11:04:52.11 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 3588)
2022-03-30 11:04:53.11 - [ALARM] - (Sensor ID: 3, Sensor Type:depth, Value: 26)
2022-03-30 11:04:53.12 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 8822)
2022-03-30 11:04:54.13 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -2672)
2022-03-30 11:04:55.13 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 5835)
2022-03-30 11:04:56.11 - [NORMAL] - (Sensor ID: 3, Sensor Type:depth, Value: 97)
2022-03-30 11:04:56.15 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 1517)
2022-03-30 11:04:57.15 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: 6751)
2022-03-30 11:04:58.16 - [NORMAL] - (Sensor ID: 2, Sensor Type:position, Value: -4743)
2022-03-30 11:04:59.12 - [NORMAL] - (Sensor ID: 3, Sensor Type:depth, Value: 125)
2022-03-30 11:04:59.16 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: 3764)
2022-03-30 11:05:00.16 - [WARNING] - (Sensor ID: 2, Sensor Type:position, Value: -7730)
2022-03-30 11:05:01.16 - [ALARM] - (Sensor ID: 2, Sensor Type:position, Value: 776)
2022-03-30 11:05:02.12 - [WARNING] - (Sensor ID: 3, Sensor Type:depth, Value: 196)
